epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
39,218.29,0.76474,1.09784,0.79763,1.06773,0.64927,0.50927,0.55805,0.38761,0.63249,0.49992,0.53915,0.3727,1.10553,2.25819,1.47237,1.42212,0.0011444,0.0011444,0.0011444
40,224.549,0.80511,1.13998,0.79064,1.07901,0.46871,0.53802,0.48096,0.32563,0.45827,0.53048,0.48518,0.31133,1.03546,2.31009,1.53392,1.36709,0.00113064,0.00113064,0.00113064
41,230.802,0.74691,1.04162,0.78377,1.07278,0.48217,0.48289,0.46753,0.3237,0.46325,0.4738,0.45193,0.3088,1.03189,2.20821,1.52663,1.36831,0.00111689,0.00111689,0.00111689
42,237.003,0.74544,1.05213,0.72955,1.05232,0.5997,0.40951,0.50491,0.37661,0.65063,0.38913,0.49567,0.37051,0.99341,2.04422,1.41182,1.32429,0.00110314,0.00110314,0.00110314
43,243.229,0.73497,1.12768,0.73632,1.05518,0.55982,0.47691,0.49768,0.38431,0.55982,0.47691,0.49023,0.38787,0.96071,1.89576,1.39037,1.32435,0.00108938,0.00108938,0.00108938
44,249.323,0.71253,1.04465,0.73512,1.04871,0.63482,0.56613,0.59917,0.44257,0.63482,0.56613,0.59469,0.44218,0.89439,1.7257,1.37487,1.30887,0.00107563,0.00107563,0.00107563
45,255.734,0.68313,1.04868,0.71282,1.03877,0.50963,0.68039,0.58801,0.42167,0.61949,0.57794,0.58732,0.42943,0.90792,1.87473,1.37173,1.30906,0.00106188,0.00106188,0.00106188
46,261.295,0.74726,1.10785,0.75186,1.09368,0.59731,0.60891,0.58563,0.42419,0.57863,0.62428,0.57509,0.4225,0.9547,2.0248,1.2496,1.32028,0.00104813,0.00104813,0.00104813
47,265.599,0.71487,1.09436,0.70716,1.05238,0.6288,0.49581,0.56825,0.44722,0.6288,0.49581,0.56094,0.43461,0.85446,2.33032,1.32524,1.26727,0.00103437,0.00103437,0.00103437
48,269.849,0.69746,1.01834,0.68207,1.03531,0.73611,0.62567,0.68015,0.54321,0.73611,0.62567,0.66434,0.52689,0.83909,2.28576,1.16939,1.25401,0.00102062,0.00102062,0.00102062
49,274.11,0.67771,1.06496,0.65949,1.01056,0.70954,0.62709,0.6887,0.5402,0.70954,0.62709,0.6712,0.51238,0.88032,2.26145,1.22142,1.27757,0.00100687,0.00100687,0.00100687
50,278.354,0.65283,0.98047,0.63128,0.99673,0.7747,0.60339,0.6847,0.51221,0.7747,0.60339,0.68019,0.49735,1.02303,2.24525,1.30974,1.41859,0.000993115,0.000993115,0.000993115
51,282.505,0.70648,0.94932,0.68751,1.01575,0.72696,0.6426,0.68468,0.51861,0.72696,0.6426,0.68574,0.52007,0.92559,2.14749,1.3074,1.34167,0.000979362,0.000979362,0.000979362
52,286.704,0.67284,1.00712,0.68106,1.02053,0.61997,0.65871,0.62663,0.47956,0.61997,0.65871,0.6271,0.452,0.98405,2.10273,1.53652,1.37537,0.00096561,0.00096561,0.00096561
53,290.891,0.66316,1.00386,0.70352,1.01785,0.66878,0.66453,0.65764,0.49251,0.66878,0.66453,0.64883,0.47675,0.95559,2.13025,1.44949,1.36604,0.000951857,0.000951857,0.000951857
54,295.089,0.66477,0.99595,0.65976,1.04054,0.64772,0.64472,0.66113,0.47199,0.7212,0.58872,0.64222,0.45176,1.02763,2.42642,1.35897,1.39898,0.000938104,0.000938104,0.000938104
55,299.26,0.63071,0.93568,0.63585,0.99912,0.5726,0.57879,0.59318,0.41377,0.55988,0.5697,0.56822,0.37298,1.02929,2.68823,1.53454,1.42866,0.000924352,0.000924352,0.000924352
56,303.43,0.67278,0.99376,0.68054,1.02037,0.58437,0.62923,0.62806,0.4652,0.5867,0.62852,0.6213,0.41827,0.98654,2.35634,1.41995,1.4028,0.000910599,0.000910599,0.000910599
57,307.585,0.63952,0.88671,0.64158,1.04089,0.6361,0.69985,0.70986,0.54377,0.6361,0.69985,0.70926,0.51198,0.88705,2.01919,1.18489,1.30191,0.000896846,0.000896846,0.000896846
58,311.809,0.6242,0.93535,0.63298,1.01953,0.75411,0.55722,0.62363,0.45933,0.75411,0.55722,0.62216,0.4591,1.02563,2.15182,1.2328,1.37018,0.000883093,0.000883093,0.000883093
59,316.021,0.62178,0.94872,0.59667,0.96949,0.52057,0.60481,0.59731,0.44959,0.52057,0.60481,0.59105,0.45685,1.01281,2.19582,1.1572,1.35915,0.00086934,0.00086934,0.00086934
60,320.247,0.62207,0.89674,0.63026,1.0001,0.56721,0.61176,0.62737,0.49586,0.55328,0.63066,0.62754,0.48263,0.9098,2.07848,1.11729,1.29954,0.000855588,0.000855588,0.000855588
61,324.372,0.57851,0.87554,0.58647,0.98816,0.68162,0.60053,0.66788,0.53942,0.68162,0.60053,0.66732,0.51951,0.85609,1.97246,1.11266,1.27719,0.000841835,0.000841835,0.000841835
62,328.514,0.57988,0.87119,0.55823,0.9949,0.62436,0.67249,0.66311,0.54507,0.6225,0.66115,0.65168,0.51327,0.75135,2.35194,1.03605,1.22229,0.000828082,0.000828082,0.000828082
63,332.7,0.62418,0.94516,0.59453,0.99981,0.6135,0.66724,0.66775,0.5377,0.60537,0.65883,0.65835,0.5259,0.73088,2.15254,1.06691,1.1812,0.000814329,0.000814329,0.000814329
64,336.88,0.60993,0.83629,0.57894,0.98593,0.57804,0.74046,0.68995,0.55009,0.68749,0.62486,0.68568,0.54625,0.77556,2.13894,1.07337,1.17432,0.000800577,0.000800577,0.000800577
65,341.082,0.58022,0.84971,0.56215,0.97338,0.60304,0.68863,0.68653,0.54006,0.58119,0.69572,0.68086,0.54608,0.80657,2.08716,1.13152,1.1918,0.000786824,0.000786824,0.000786824
66,345.246,0.57364,0.80583,0.53447,0.97257,0.63207,0.62791,0.65498,0.50649,0.63207,0.62791,0.65395,0.51292,0.83122,1.79856,1.22008,1.22711,0.000773071,0.000773071,0.000773071
67,349.422,0.59948,0.85309,0.56611,1.00223,0.58668,0.59595,0.60518,0.46571,0.57994,0.59626,0.60088,0.47589,0.90672,1.69434,1.32296,1.26639,0.000759318,0.000759318,0.000759318
68,353.614,0.55598,0.77463,0.54353,0.96728,0.65321,0.64385,0.67741,0.53258,0.65536,0.64385,0.6734,0.53298,0.82438,1.68768,1.11386,1.20766,0.000745566,0.000745566,0.000745566
